Device: samsung SM-G970U1; eSense app version: 4.9.0; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;ro-07012021-skin;;;;
DATE (HH:MM:SS);07.01.21 19:44:35;;;;
TIME (HH:MM:SS);00:15:55;;;;
MAXIMUM;5.23 µS;;;;
MINIMUM;0.38 µS;;;;
DIFFERENCE MIN/MAX;4.85 µS;;;;
AVERAGE OF SESSION;2.59 µS;;;;
TIME INCREASE (HH:MM:SS);00:03:20;;;;
TIME STEADY (HH:MM:SS);00:00:40;;;;
TIME DECREASE (HH:MM:SS);00:11:54;;;;
;;;;;
TOTAL SCR;44;;;;
% of SCR OF SESSION;19.8%;;;;
Red hands;0;;;;
Orange hands;7;;;;
Yellow hands;122;;;;
Green hands;62;;;;
0-5 SCR/MIN (HH:MM:SS);00:15:01;;;;
6-9 SCR/MIN (HH:MM:SS);00:00:57;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;0;;;;
STARS WITH RIBBON;0;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
72.2;0.86;19:45:47:725;0;0;
72.4;0.86;19:45:47:925;0;0;
72.6;0.86;19:45:48:125;0;0;
72.8;0.86;19:45:48:325;0;0;
73.0;0.85;19:45:48:525;0;0;
73.2;0.85;19:45:48:725;0;0;
73.4;0.85;19:45:48:925;0;0;
73.6;0.85;19:45:49:125;0;0;
73.8;0.85;19:45:49:325;0;0;
74.0;0.85;19:45:49:525;0;0;
74.2;0.85;19:45:49:725;0;0;
74.4;0.85;19:45:49:925;0;0;
74.6;0.85;19:45:50:125;0;0;
74.8;0.85;19:45:50:325;0;0;
75.0;0.85;19:45:50:525;0;0;
75.2;0.85;19:45:50:725;0;0;
75.4;0.84;19:45:50:925;0;0;
75.6;0.84;19:45:51:125;0;0;
75.8;0.84;19:45:51:325;0;0;
76.0;0.84;19:45:51:525;0;0;
76.2;0.84;19:45:51:725;0;0;
76.4;0.85;19:45:51:925;0;0;
76.6;0.85;19:45:52:125;0;0;
76.8;0.85;19:45:52:325;0;0;
77.0;0.85;19:45:52:525;0;0;
77.2;0.84;19:45:52:725;0;0;
77.4;0.84;19:45:52:925;0;0;
77.6;0.84;19:45:53:125;0;0;
77.8;0.84;19:45:53:325;0;0;
78.0;0.84;19:45:53:525;0;0;
78.2;0.84;19:45:53:725;0;0;
78.4;0.84;19:45:53:925;0;0;
78.6;0.84;19:45:54:125;0;0;
78.8;0.84;19:45:54:325;0;0;
79.0;0.84;19:45:54:525;0;0;
79.2;0.84;19:45:54:725;0;0;
79.4;0.84;19:45:54:925;0;0;
79.6;0.83;19:45:55:125;0;0;
79.8;0.83;19:45:55:325;0;0;
80.0;0.83;19:45:55:525;0;0;
80.2;0.83;19:45:55:725;0;0;
80.4;0.83;19:45:55:925;0;0;
80.6;0.83;19:45:56:125;0;0;
80.8;0.83;19:45:56:325;0;0;
81.0;0.83;19:45:56:525;0;0;
81.2;0.83;19:45:56:725;0;0;
81.4;0.82;19:45:56:925;0;0;
81.6;0.82;19:45:57:125;0;0;
81.8;0.82;19:45:57:325;0;0;
82.0;0.82;19:45:57:525;0;0;
82.2;0.82;19:45:57:725;0;0;
82.4;0.82;19:45:57:925;0;0;
82.6;0.82;19:45:58:125;0;0;
82.8;0.82;19:45:58:325;0;0;
83.0;0.82;19:45:58:525;0;0;
83.2;0.81;19:45:58:725;0;0;
83.4;0.81;19:45:58:925;0;0;
83.6;0.81;19:45:59:125;0;0;
83.8;0.81;19:45:59:325;0;0;
84.0;0.81;19:45:59:525;0;0;
84.2;0.81;19:45:59:725;0;0;
84.4;0.81;19:45:59:925;0;0;
84.6;0.81;19:46:00:125;0;0;
84.8;0.81;19:46:00:325;0;0;
85.0;0.81;19:46:00:525;0;0;
85.2;0.81;19:46:00:725;0;0;
85.4;0.80;19:46:00:925;0;0;
85.6;0.80;19:46:01:125;0;0;
85.8;0.80;19:46:01:325;0;0;
86.0;0.80;19:46:01:525;0;0;
86.2;0.80;19:46:01:725;0;0;
86.4;0.80;19:46:01:925;0;0;
86.6;0.80;19:46:02:125;0;0;
86.8;0.80;19:46:02:325;0;0;
87.0;0.80;19:46:02:525;0;0;
87.2;0.80;19:46:02:725;0;0;
87.4;0.80;19:46:02:925;0;0;
87.6;0.80;19:46:03:125;0;0;
87.8;0.80;19:46:03:325;0;0;
